Outlet_ID,Records,Total_Marketing_Spend,Total_Sales_Revenue,Total_Orders,Average_Conversion_Rate,Revenue_Per_Marketing_Rupee,Marketing_Spend_Percentage,Marketing_Effectiveness_Score,Effectiveness_Category,Marketing_Category,Alert_Level,Marketing_Insights,Recommendations
OUT0001,38,2926886.83,62019742.48,35179.0,25.142894736842106,21.18966194535099,4.719282462264104,60.6,Moderate,Moderate,Low,"Overall marketing effectiveness is moderate. Total marketing spend is ₹2,926,886.83 against sales revenue of ₹62,019,742.48. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 35,179 orders from ₹62,019,742.48 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is among the stronger outlet results.",Continue monitoring successful campaigns and consider scaling effective activities.
OUT0002,40,1386220.71,24944927.22,27543.0,25.899,17.994917432736955,5.557124692224297,54.98,Moderate,Needs Improvement,Medium,"Overall marketing effectiveness is moderate. Total marketing spend is ₹1,386,220.71 against sales revenue of ₹24,944,927.22. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 27,543 orders from ₹24,944,927.22 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is below the lower-performing outlet range.",Review campaigns and redirect marketing spending toward better-performing activities.
OUT0003,40,3289099.19,70656261.59,131722.0,30.657,21.481949162500023,4.655071066575516,76.72,High Performing,High Performing,Low,"Overall marketing effectiveness is strong. Total marketing spend is ₹3,289,099.19 against sales revenue of ₹70,656,261.59. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 131,722 orders from ₹70,656,261.59 in sales revenue. Conversion rate is among the stronger outlet results. Marketing efficiency is among the stronger outlet results.",Continue effective marketing activities and consider scaling campaigns that generate strong results. Continue monitoring successful campaigns and consider scaling effective activities.
OUT0004,41,773871.51,15001524.36,17824.0,15.199512195121953,19.38503248426861,5.158619160486435,47.32,Moderate,Needs Improvement,Medium,"Overall marketing effectiveness is moderate. Total marketing spend is ₹773,871.51 against sales revenue of ₹15,001,524.36. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 17,824 orders from ₹15,001,524.36 in sales revenue. Conversion rate is below the lower-performing outlet range. Marketing efficiency is within the middle range of outlet performance.","Improve campaign targeting, customer engagement, offers, and conversion-focused activities."
OUT0005,38,3448067.79,69149390.21,59485.0,19.47026315789474,20.05453326948656,4.9864037550129545,56.76,Moderate,Moderate,Low,"Overall marketing effectiveness is moderate. Total marketing spend is ₹3,448,067.79 against sales revenue of ₹69,149,390.21. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 59,485 orders from ₹69,149,390.21 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is within the middle range of outlet performance.","Continue monitoring marketing performance and optimize campaigns using sales, orders, conversion, and efficiency trends."
OUT0006,37,997395.06,18916336.37,21580.0,18.838378378378376,18.96574098732753,5.272665068389244,50.07,Moderate,Needs Improvement,Medium,"Overall marketing effectiveness is moderate. Total marketing spend is ₹997,395.06 against sales revenue of ₹18,916,336.37. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 21,580 orders from ₹18,916,336.37 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is below the lower-performing outlet range.",Review campaigns and redirect marketing spending toward better-performing activities.
OUT0007,37,1372743.68,27480651.16,31572.0,21.42297297297297,20.018778130524705,4.995309870961587,55.13,Moderate,Moderate,Low,"Overall marketing effectiveness is moderate. Total marketing spend is ₹1,372,743.68 against sales revenue of ₹27,480,651.16. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 31,572 orders from ₹27,480,651.16 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is within the middle range of outlet performance.","Continue monitoring marketing performance and optimize campaigns using sales, orders, conversion, and efficiency trends."
OUT0008,39,1568470.39,30572506.58,22752.0,20.517692307692307,19.49192460050202,5.130329716000669,52.48,Moderate,Moderate,Low,"Overall marketing effectiveness is moderate. Total marketing spend is ₹1,568,470.39 against sales revenue of ₹30,572,506.58. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 22,752 orders from ₹30,572,506.58 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is within the middle range of outlet performance.","Continue monitoring marketing performance and optimize campaigns using sales, orders, conversion, and efficiency trends."
OUT0009,40,9531345.13,197342075.94,163198.0,31.7985,20.704535744788416,4.8298595647174185,79.95,High Performing,Moderate,Low,"Overall marketing effectiveness is strong. Total marketing spend is ₹9,531,345.13 against sales revenue of ₹197,342,075.94. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 163,198 orders from ₹197,342,075.94 in sales revenue. Conversion rate is among the stronger outlet results. Marketing efficiency is within the middle range of outlet performance.",Continue effective marketing activities and consider scaling campaigns that generate strong results.
OUT0010,38,4178335.96,85405812.13,65552.0,25.502368421052633,20.440149606830563,4.892332097539179,63.11,Moderate,Moderate,Low,"Overall marketing effectiveness is moderate. Total marketing spend is ₹4,178,335.96 against sales revenue of ₹85,405,812.13. Marketing spend represents a relatively lower proportion of sales revenue. The outlet generated 65,552 orders from ₹85,405,812.13 in sales revenue. Conversion rate is within the middle range of outlet performance. Marketing efficiency is within the middle range of outlet performance.","Continue monitoring marketing performance and optimize campaigns using sales, orders, conversion, and efficiency trends."
