Month,Outlets_Recorded,Average_Employees,Average_Employee_Turnover,Average_Customer_Satisfaction,Total_Complaints
2023-01,750,17.6,7.9,3.44,17279.0
2023-02,750,17.6,7.8,3.46,17077.0
2023-03,750,17.6,7.93,3.44,16976.0
2023-04,750,17.6,8.09,3.45,17210.0
2023-05,750,17.6,7.95,3.43,17108.0
2023-06,750,17.6,8.0,3.44,17394.0
2023-07,750,17.6,7.97,3.46,17310.0
2023-08,750,17.6,8.04,3.45,17044.0
2023-09,750,17.6,7.94,3.45,17077.0
2023-10,750,17.6,7.93,3.44,17139.0
2023-11,750,17.6,8.01,3.47,17126.0
2023-12,750,17.6,7.96,3.45,17215.0
2024-01,750,17.6,8.02,3.46,17084.0
2024-02,750,17.6,8.0,3.46,17308.0
2024-03,750,17.6,8.13,3.44,16999.0
2024-04,750,17.6,7.89,3.46,17221.0
2024-05,750,17.6,7.94,3.45,17160.0
2024-06,750,17.6,7.83,3.45,17295.0
2024-07,750,17.6,8.05,3.46,17220.0
2024-08,750,17.6,8.1,3.46,17012.0
2024-09,750,17.6,7.8,3.43,16940.0
2024-10,750,17.6,8.06,3.46,16903.0
2024-11,750,17.6,7.97,3.45,17222.0
2024-12,750,17.6,7.99,3.44,17167.0
2025-01,750,17.6,7.83,3.45,17070.0
2025-02,750,17.6,8.01,3.46,17171.0
2025-03,750,17.6,7.87,3.44,17251.0
2025-04,750,17.6,8.02,3.46,17107.0
2025-05,750,17.6,7.84,3.46,17024.0
2025-06,750,17.6,7.96,3.45,17046.0
2025-07,750,17.6,8.11,3.46,17138.0
2025-08,750,17.6,8.0,3.46,17089.0
2025-09,750,17.6,7.94,3.47,17247.0
2025-10,750,17.6,7.95,3.47,16981.0
2025-11,750,17.6,7.93,3.46,17169.0
2025-12,750,17.6,7.96,3.43,17460.0
2026-01,750,17.6,8.02,3.45,17063.0
2026-02,750,17.6,7.96,3.42,16914.0
2026-03,750,17.6,8.08,3.47,17220.0
2026-04,750,17.6,7.98,3.45,17335.0
