Outlet_ID,Outlet_Name,Employees_First_Month,Turnover_First_Month,Employees_Latest_Month,Turnover_Latest_Month,Employee_Change,Turnover_Change,Employee_Trend,Trend_Insight
OUT0001,Franchise Outlet 0001,20.0,5.57,20.0,,0.0,,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0002,Franchise Outlet 0002,22.0,7.0,22.0,9.55,0.0,2.55,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0003,Franchise Outlet 0003,8.0,5.41,8.0,4.94,0.0,-0.47,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0004,Franchise Outlet 0004,20.0,5.09,20.0,10.43,0.0,5.34,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0005,Franchise Outlet 0005,17.0,5.8,17.0,13.36,0.0,7.56,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0006,Franchise Outlet 0006,18.0,6.08,18.0,4.81,0.0,-1.27,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0007,Franchise Outlet 0007,12.0,10.55,12.0,3.66,0.0,-6.89,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0008,Franchise Outlet 0008,25.0,9.58,25.0,7.78,0.0,-1.8,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0009,Franchise Outlet 0009,23.0,11.03,23.0,7.44,0.0,-3.59,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0010,Franchise Outlet 0010,23.0,6.89,23.0,9.16,0.0,2.27,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0011,Franchise Outlet 0011,24.0,11.93,24.0,1.0,0.0,-10.93,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0012,Franchise Outlet 0012,4.0,7.71,4.0,4.96,0.0,-2.75,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0013,Franchise Outlet 0013,11.0,6.36,11.0,7.16,0.0,0.8,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0014,Franchise Outlet 0014,22.0,6.72,22.0,8.24,0.0,1.52,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0015,Franchise Outlet 0015,13.0,8.69,13.0,7.88,0.0,-0.81,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0016,Franchise Outlet 0016,22.0,5.24,22.0,5.2,0.0,-0.04,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0017,Franchise Outlet 0017,21.0,5.66,21.0,6.69,0.0,1.03,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0018,Franchise Outlet 0018,15.0,7.43,15.0,7.01,0.0,-0.42,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0019,Franchise Outlet 0019,22.0,8.63,22.0,7.49,0.0,-1.14,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0020,Franchise Outlet 0020,21.0,12.01,21.0,10.06,0.0,-1.95,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0021,Franchise Outlet 0021,21.0,5.21,21.0,6.32,0.0,1.11,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0022,Franchise Outlet 0022,19.0,11.08,19.0,,0.0,,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
